"id","name","description","parent_id"
"disease_1","Cardiovascular Disease","A group of disorders of the heart and blood vessels.",""
"disease_2","Diabetes","A disease that occurs when blood sugar is too high.",""
"disease_3","Hypertension","A condition in which blood pressure is consistently too high.",""
"disease_4","Asthma","A respiratory condition marked by spasms in the bronchi.",""
"disease_5","Alzheimer's Disease","A progressive disease that destroys memory.",""
"disease_6","Parkinson's Disease","A nervous system disorder affecting movement.",""
"disease_7","Stroke","A sudden interruption of blood flow to the brain.",""
"disease_8","Arthritis","Inflammation of one or more joints.",""
"disease_9","Cancer","A disease in which abnormal cells divide uncontrollably.",""
"disease_10","Flu","A contagious respiratory illness caused by influenza viruses.",""
